element,web_name,pos,start_price,total_points,avg_price,team,appearances,q_starts,ppg_start,ppg_sd
1,Raya,GK,5.5,162,5.873684210526315,Arsenal,37,37,4.378378378378378,2.7320256155394964
2,Arrizabalaga,GK,4.5,2,4.163157894736842,Arsenal,1,1,2.0,
3,Hein,GK,4.0,0,4.0,Arsenal,0,0,,
4,Setford,GK,4.0,0,3.93421052631579,Arsenal,0,0,,
5,Gabriel,DEF,6.0,209,6.652631578947369,Arsenal,32,30,6.9,3.9159268071071875
6,Saliba,DEF,6.0,137,6.036842105263158,Arsenal,31,28,4.785714285714286,3.0472470011002204
7,Calafiori,DEF,5.5,109,5.657894736842105,Arsenal,26,19,5.421052631578948,3.5010441216186448
8,J.Timber,DEF,5.5,149,6.152631578947369,Arsenal,30,26,5.538461538461538,4.941503975356242
9,Kiwior,DEF,5.5,0,5.405263157894737,Arsenal,0,0,,
10,Lewis-Skelly,DEF,5.5,29,5.144736842105263,Arsenal,20,5,3.2,2.588435821108957
11,White,DEF,5.5,45,5.228947368421053,Arsenal,12,7,5.714285714285714,4.347960660443228
13,Clarke,DEF,4.0,0,3.8263157894736843,Arsenal,0,0,,
14,Kacurri,DEF,4.0,0,3.910526315789474,Arsenal,0,0,,
15,Nichols,DEF,4.0,0,3.8078947368421057,Arsenal,0,0,,
16,Saka,MID,10.0,157,9.986842105263158,Arsenal,31,23,5.478260869565218,3.369240071014009
17,Ødegaard,MID,8.0,74,7.8315789473684205,Arsenal,24,11,4.181818181818182,2.442055765873573
18,Madueke,MID,7.0,72,6.839473684210526,Arsenal,26,11,5.181818181818182,4.468068527186704
19,Martinelli,MID,7.0,57,6.8315789473684205,Arsenal,30,5,4.0,2.0
20,Trossard,MID,7.0,119,6.807894736842106,Arsenal,31,20,5.0,3.641861872001304
21,Rice,MID,6.5,184,7.057894736842106,Arsenal,36,35,5.228571428571429,3.4733075801343145
22,Merino,MID,6.0,67,5.686842105263159,Arsenal,22,8,5.25,3.882193783343198
23,Fábio Vieira,MID,5.5,0,5.405263157894737,Arsenal,0,0,,
24,Nørgaard,MID,5.5,7,5.189473684210526,Arsenal,7,0,,
25,Nwaneri,MID,5.5,8,5.113157894736842,Arsenal,6,1,3.0,
26,Zubimendi,MID,5.5,133,5.268421052631579,Arsenal,38,32,4.0,3.0900464554394955
28,Kabia,MID,4.5,0,4.5,Arsenal,0,0,,
29,Sambi,MID,4.5,0,4.5,Arsenal,0,0,,
30,Havertz,FWD,7.5,36,7.315789473684211,Arsenal,12,5,4.6,2.6076809620810595
31,G.Jesus,FWD,6.5,24,6.413157894736843,Arsenal,14,1,5.0,
266,Eze,MID,7.5,113,7.428947368421052,Arsenal,33,18,5.055555555555555,4.976086605807492
662,Mosquera,DEF,5.5,40,5.355263157894737,Arsenal,20,8,3.625,2.445841952609133
666,Gyökeres,FWD,9.0,128,8.863157894736842,Arsenal,36,22,4.181818181818182,4.21602796182518
700,Dowman,MID,4.5,16,4.294594594594594,Arsenal,6,1,3.0,
711,Harriman-Annous,MID,4.5,0,4.455555555555556,Arsenal,0,0,,
725,Hincapie,DEF,5.5,87,5.277142857142858,Arsenal,25,18,4.333333333333333,3.3781303565555834
759,Salmon,DEF,4.0,0,4.0,Arsenal,0,0,,
32,Martinez,GK,5.0,120,5.036842105263158,Aston Villa,32,31,3.838709677419355,3.0561061739142117
33,M.Bizot,GK,4.5,16,4.278947368421052,Aston Villa,7,6,2.3333333333333335,2.503331114069145
34,Gauci,GK,4.0,0,4.0,Aston Villa,0,0,,
35,Marschall,GK,4.0,0,4.0,Aston Villa,0,0,,
36,Cash,DEF,4.5,117,4.707894736842105,Aston Villa,35,33,3.5454545454545454,3.4195294732143804
37,Digne,DEF,4.5,97,4.5,Aston Villa,31,19,4.2631578947368425,2.663375161606413
38,Konsa,DEF,4.5,100,4.423684210526316,Aston Villa,34,34,2.9411764705882355,2.423885891786015
39,Maatsen,DEF,4.5,54,4.25,Aston Villa,30,17,2.4705882352941178,2.0651164331225838
40,Mings,DEF,4.5,50,4.3578947368421055,Aston Villa,17,14,3.357142857142857,3.4996075133152784
41,Pau,DEF,4.5,64,4.328947368421053,Aston Villa,21,18,3.388888888888889,2.404380533866049
42,A.García,DEF,4.0,5,3.9078947368421053,Aston Villa,6,0,,
43,Alex Moreno,DEF,4.0,0,4.0,Aston Villa,0,0,,
44,Bogarde,DEF,4.0,40,4.0,Aston Villa,28,10,2.6,3.0258148581093915
45,Sousa,DEF,4.0,0,3.8842105263157896,Aston Villa,0,0,,
46,Yasin,DEF,4.0,0,4.0,Aston Villa,0,0,,
47,Rogers,MID,7.0,169,7.255263157894737,Aston Villa,37,37,4.5675675675675675,4.1334713722953955
48,Tielemans,MID,6.0,68,5.907894736842105,Aston Villa,25,20,3.0,1.6858544608470492
49,Bailey,MID,5.5,21,5.5,Aston Villa,13,3,4.0,1.7320508075688772
50,Buendía,MID,5.5,102,5.310526315789474,Aston Villa,36,15,3.3333333333333335,3.3309515300043158
51,Iling Jr,MID,5.5,0,5.5,Aston Villa,0,0,,
53,Malen,MID,5.5,55,5.13421052631579,Aston Villa,21,4,5.5,6.3508529610858835
54,McGinn,MID,5.5,103,5.389473684210526,Aston Villa,30,25,3.92,3.2777024473452947
55,Barkley,MID,5.0,56,4.818421052631579,Aston Villa,21,7,4.857142857142857,4.140393356054125
56,Barrenechea,MID,5.0,0,5.0,Aston Villa,0,0,,
57,Dobbin,MID,5.0,0,5.0,Aston Villa,0,0,,
58,Kamara,MID,5.0,61,4.905263157894737,Aston Villa,18,16,3.6875,3.0048571790796754
59,Onana,MID,5.0,76,4.828947368421053,Aston Villa,25,20,3.55,2.5848750351551657
60,Broggio,MID,4.5,0,4.4526315789473685,Aston Villa,0,0,,
61,Dendoncker,MID,4.5,0,4.5,Aston Villa,0,0,,
62,Jimoh-Aloba,MID,4.5,1,4.5,Aston Villa,1,0,,
63,Young,MID,4.5,0,4.352631578947369,Aston Villa,0,0,,
64,Watkins,FWD,9.0,167,8.652631578947368,Aston Villa,37,32,4.75,4.355197117867786
65,Redmond,FWD,4.5,0,4.5,Aston Villa,0,0,,
389,Elliott,MID,5.5,5,5.223684210526316,Aston Villa,5,0,,
456,Sancho,MID,6.0,37,5.828947368421053,Aston Villa,23,6,3.3333333333333335,1.7511900715418263
688,Wright,GK,4.0,0,3.93421052631579,Aston Villa,0,0,,
699,Douglas Luiz,MID,5.0,35,4.9324324324324325,Nott'm Forest,21,8,3.125,1.8850918886280925
701,Rowe,DEF,4.0,0,4.0,Aston Villa,0,0,,
702,Burrowes,MID,4.5,1,4.41081081081081,Aston Villa,1,0,,
703,Proctor,GK,4.0,0,3.937837837837838,Aston Villa,0,0,,
710,Patterson,DEF,4.0,0,3.9166666666666665,Aston Villa,0,0,,
719,Lindelöf,DEF,4.5,29,4.5,Aston Villa,17,10,2.2,1.6865480854231356
754,George Hemmings,MID,4.5,2,4.5,Aston Villa,2,0,,
757,Hollingshead,GK,4.0,0,4.0,Aston Villa,0,0,,
768,Leon Routh,DEF,4.0,0,4.0,Aston Villa,0,0,,
781,Carroll,DEF,4.0,0,4.0,Aston Villa,0,0,,
792,Alysson,MID,5.0,3,5.0,Aston Villa,3,0,,
808,Abraham,FWD,6.0,23,5.9,Aston Villa,12,1,2.0,
183,Weiss,GK,4.5,7,4.323684210526316,Burnley,3,3,2.3333333333333335,0.5773502691896257
184,Green,GK,4.0,0,4.0,Burnley,0,0,,
