code,web_name,element_type,team_name,now_cost,status,news,chance_of_playing_next_round,birth_date,pos,price,age,tp_2526,n60,ncam,pts_start,club_2526,P_start,cameo_share,club_2526_sh,moved,type
154561,Raya,1,ARS,60,a,,,,GK,6.0,,162.0,36.0,0.0,4.5,Arsenal,0.95,0.0,ARS,False,A-clean
109745,Arrizabalaga,1,ARS,50,a,,,,GK,5.0,,2.0,1.0,0.0,2.0,Arsenal,0.03,0.0,ARS,False,A-clean
437495,Meslier,1,ARS,50,a,,,,GK,5.0,,0.0,0.0,0.0,,Leeds,0.0,,LEE,True,A-clean
226597,Gabriel,2,ARS,80,a,,,,DEF,8.0,,209.0,29.0,2.0,7.137931034482759,Arsenal,0.76,0.06,ARS,False,A-clean
445122,J.Timber,2,ARS,65,i,Groin injury - Expected back 21 Aug,0.0,,DEF,6.5,,149.0,25.0,4.0,5.76,Arsenal,0.66,0.14,ARS,False,A-clean
462424,Saliba,2,ARS,60,i,Back injury - Unknown return date,0.0,,DEF,6.0,,137.0,28.0,3.0,4.785714285714286,Arsenal,0.74,0.1,ARS,False,A-clean
499169,Lewis-Skelly,3,ARS,55,a,,,,MID,5.5,,29.0,5.0,15.0,3.2,Arsenal,0.13,0.75,ARS,False,B-cameo
466075,Calafiori,2,ARS,55,a,,,,DEF,5.5,,109.0,19.0,6.0,5.421052631578948,Arsenal,0.5,0.24,ARS,False,A-clean
448104,Hincapie,2,ARS,55,a,,,,DEF,5.5,,87.0,17.0,7.0,4.588235294117647,Arsenal,0.45,0.29,ARS,False,B-cameo
198869,White,2,ARS,55,i,Knee injury - Expected back 21 Aug,0.0,,DEF,5.5,,45.0,7.0,5.0,5.714285714285714,Arsenal,0.18,0.42,ARS,False,B-cameo
500040,Mosquera,2,ARS,55,a,,,,DEF,5.5,,40.0,8.0,12.0,3.625,Arsenal,0.21,0.6,ARS,False,B-cameo
223340,Saka,3,ARS,95,a,,,,MID,9.5,,157.0,23.0,7.0,5.521739130434782,Arsenal,0.61,0.23,ARS,False,A-clean
204480,Rice,3,ARS,75,a,,,,MID,7.5,,184.0,34.0,1.0,5.382352941176471,Arsenal,0.89,0.03,ARS,False,A-clean
232413,Eze,3,ARS,65,a,,,,MID,6.5,,113.0,19.0,13.0,4.894736842105263,Arsenal,0.5,0.41,ARS,False,B-cameo
184029,Ødegaard,3,ARS,65,a,,,,MID,6.5,,74.0,11.0,13.0,4.181818181818182,Arsenal,0.29,0.54,ARS,False,B-cameo
248857,Madueke,3,ARS,65,a,,,,MID,6.5,,72.0,10.0,15.0,5.7,Arsenal,0.26,0.6,ARS,False,B-cameo
195384,Merino,3,ARS,60,a,,,,MID,6.0,,67.0,8.0,14.0,5.25,Arsenal,0.21,0.64,ARS,False,B-cameo
444145,Martinelli,3,ARS,65,a,,,,MID,6.5,,57.0,5.0,24.0,4.2,Arsenal,0.13,0.83,ARS,False,B-cameo
481655,Zubimendi,3,ARS,55,a,,,,MID,5.5,,133.0,31.0,6.0,4.129032258064516,Arsenal,0.82,0.16,ARS,False,A-clean
616077,Dowman,3,ARS,55,a,,,,MID,5.5,,16.0,1.0,5.0,3.0,Arsenal,0.03,0.83,ARS,False,B-cameo
128295,Nørgaard,3,ARS,50,a,,,,MID,5.0,,7.0,0.0,7.0,,Arsenal,0.0,1.0,ARS,False,B-cameo
499175,Nwaneri,3,ARS,55,a,,,,MID,5.5,,8.0,1.0,5.0,3.0,Arsenal,0.03,0.83,ARS,False,B-cameo
