position,team,team_fpl,short,MP,W,D,L,GF,GA,GD,PTS
1,Arsenal,Arsenal,ARS,38,26,7,5,71,27,44,85
2,Manchester City,Man City,MCI,38,23,9,6,77,35,42,78
3,Manchester United,Man Utd,MUN,38,20,11,7,69,50,19,71
4,Aston Villa,Aston Villa,AVL,38,19,8,11,56,49,7,65
5,Liverpool,Liverpool,LIV,38,17,9,12,63,53,10,60
6,Bournemouth,Bournemouth,BOU,38,13,18,7,58,54,4,57
7,Sunderland,Sunderland,SUN,38,14,12,12,42,48,-6,54
8,Brighton,Brighton,BHA,38,14,11,13,52,46,6,53
9,Brentford,Brentford,BRE,38,14,11,13,55,52,3,53
10,Chelsea,Chelsea,CHE,38,14,10,14,58,52,6,52
11,Fulham,Fulham,FUL,38,15,7,16,47,51,-4,52
12,Newcastle,Newcastle,NEW,38,14,7,17,53,55,-2,49
13,Everton,Everton,EVE,38,13,10,15,47,50,-3,49
14,Leeds United,Leeds,LEE,38,11,14,13,49,56,-7,47
15,Crystal Palace,Crystal Palace,CRY,38,11,12,15,41,51,-10,45
16,Nottingham,Nott'm Forest,NFO,38,11,11,16,48,51,-3,44
17,Tottenham,Spurs,TOT,38,10,11,17,48,57,-9,41
18,West Ham,West Ham,WHU,38,10,9,19,46,65,-19,39
19,Burnley,Burnley,BUR,38,4,10,24,38,75,-37,22
20,Wolverhampton,Wolves,WOL,38,3,11,24,27,68,-41,20
