can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,price_change_percent,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,known_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,scout_risks,scout_news_link,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,pos,team_name,price
True,True,,,154561,0,0,0,0,0,0,1,4.0,,0,David,0.0,1,False,,,60,154561.jpg,4.4,False,Raya Martín,31.1,False,,a,1,3,162,0,0,0,0,0.0,27.0,Raya,,,,,False,p154561,3330,0,0,19,26,0,0,0,1,0,60,11,633,541.6,33.5,0.0,57.5,0,0,0,0,37,0.0,0.07,0.07,27.56,,,,,,,[],,96,16,304,3,549,60,229,16,0.0,1.62,0.0,0.0,0.74,0.7,60,1,454,60,32,3,6,1,1.0,0.51,0.0,GK,ARS,6.0
True,True,,,109745,0,0,0,0,0,0,1,2.6,,0,Kepa,0.0,2,False,,,50,109745.jpg,2.0,False,Arrizabalaga Revuelta,0.1,False,,a,1,3,2,0,0,0,0,0.0,0.4,Arrizabalaga,,,,,False,p109745,90,0,0,0,1,0,0,0,0,0,2,0,11,19.8,0.0,0.0,2.0,0,0,0,0,1,0.0,0.0,0.0,0.98,,,,,,,[],,357,30,486,54,480,49,373,30,0.0,2.0,0.0,0.0,0.98,1.0,222,8,200,46,285,28,326,38,1.0,0.0,0.0,GK,ARS,5.0
True,True,,,437495,0,0,0,0,0,0,1,2.6,,0,Illan,0.0,3,False,,,50,437495.jpg,0.0,False,Meslier,0.1,False,,a,1,3,0,0,0,0,0,0.0,0.0,Meslier,,,,,False,p437495,0,11,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,[],,508,60,505,57,502,55,508,60,0.0,0.0,0.0,0.0,0.0,0.0,285,14,263,52,508,60,431,54,0.0,0.0,0.0,GK,ARS,5.0
True,True,,,226597,0,0,0,0,0,0,2,4.0,,0,Gabriel,0.0,4,False,,,80,226597.jpg,6.5,False,dos Santos Magalhães,27.0,False,,a,1,3,209,0,0,0,0,0.0,26.1,Gabriel,,,,,False,p226597,2750,3,5,18,20,0,0,0,4,0,0,30,724,824.0,128.5,298.0,125.0,0,0,0,0,30,2.94,1.75,4.69,22.01,,,,,,,[],,25,9,219,61,101,15,80,18,0.1,0.0,0.06,0.16,0.72,0.65,9,1,549,184,4,1,9,3,0.98,0.59,0.0,DEF,ARS,8.0
True,True,0.0,,445122,0,0,0,0,0,0,2,0.0,,0,Jurriën,0.0,5,False,Groin injury - Unknown return date,2026-07-23T12:01:23.272929Z,65,445122.jpg,5.0,False,Timber,0.3,False,,i,1,3,149,0,0,0,0,0.0,22.9,J.Timber,,,,,False,p445122,2452,3,6,13,20,0,0,0,5,0,0,9,532,499.0,402.6,352.0,125.7,0,0,0,0,28,4.71,1.53,6.24,17.45,,,,,,,[],https://x.com/onsoranje/status/2064038072455495714?utm_source=premier-league-web&utm_medium=referral&utm_campaign=pl-referral-always-on&utm_term=injuries&utm_content=club-injury-article,114,49,76,18,76,9,79,17,0.17,0.0,0.06,0.23,0.64,0.73,47,3,520,182,13,3,213,76,1.03,0.48,0.0,DEF,ARS,6.5
True,True,0.0,,462424,0,0,0,0,0,0,2,0.0,,0,William,0.0,6,False,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,60,462424.jpg,4.4,False,Saliba,0.5,False,,i,1,3,137,0,0,0,0,0.0,22.8,Saliba,,,,,False,p462424,2614,1,0,15,20,0,0,0,2,0,0,12,581,552.6,201.0,90.0,84.3,0,0,0,0,30,0.88,1.21,2.09,20.41,,,,,,,[],https://www.arsenal.com/news/medical-update-william-saliba-aVUca3q2han2,92,41,167,41,245,76,164,57,0.03,0.0,0.04,0.07,0.7,0.69,88,9,482,179,34,13,269,98,1.03,0.52,0.0,DEF,ARS,6.0
True,True,,,499169,0,0,0,0,0,0,3,2.0,,0,Myles,0.0,7,False,,,55,499169.jpg,1.4,False,Lewis-Skelly,0.3,False,,a,1,3,29,0,0,0,0,0.0,5.3,Lewis-Skelly,,,,,False,p499169,697,0,0,2,8,0,0,0,3,0,0,0,110,73.2,74.6,29.0,17.6,0,0,0,0,5,0.1,0.2,0.3,9.01,,,,,,,[],,318,144,262,145,302,157,315,150,0.01,0.0,0.03,0.04,1.16,1.03,188,116,425,159,341,155,313,109,0.65,0.26,0.0,MID,ARS,5.5
True,True,,,466075,0,0,0,0,0,0,2,2.5,,0,Riccardo,0.0,8,False,,,55,466075.jpg,4.2,False,Calafiori,17.9,False,,a,1,3,109,0,0,0,0,0.0,19.8,Calafiori,,,,,False,p466075,1697,1,2,13,8,0,0,0,5,0,0,6,389,283.0,182.3,313.0,77.9,0,0,0,0,22,3.36,0.76,4.12,9.72,,,,,,,[],,211,80,182,46,93,12,178,62,0.18,0.0,0.04,0.22,0.52,0.42,173,24,410,166,41,16,41,15,1.17,0.69,0.0,DEF,ARS,5.5
True,True,,,448104,0,0,0,0,0,0,2,2.5,,0,Piero,0.0,9,False,,,55,448104.jpg,3.5,False,Hincapié,3.9,False,,a,1,3,87,0,0,0,0,0.0,15.8,Hincapie,,,,,False,p448104,1787,1,2,5,19,1,0,0,2,0,0,7,335,453.6,184.7,72.0,70.9,0,0,0,0,20,0.36,1.67,2.03,17.53,,,,,,,[],,129,54,180,45,258,82,196,65,0.02,0.0,0.08,0.1,0.88,0.96,164,21,401,163,105,43,69,27,1.01,0.25,0.0,DEF,ARS,5.5
True,True,100.0,,198869,0,0,0,0,0,0,2,0.0,,0,Benjamin,0.0,10,False,,2026-07-23T12:01:23.305229Z,55,198869.jpg,3.8,False,White,1.0,False,,a,1,3,45,0,0,0,0,0.0,8.2,White,,,,,False,p198869,699,0,1,5,6,0,0,0,0,0,0,3,181,154.8,133.4,54.0,34.3,0,0,0,0,9,0.45,0.69,1.14,8.68,,,,,,,[],,272,101,213,58,275,89,280,92,0.06,0.0,0.09,0.15,1.12,0.77,127,13,364,155,71,27,533,179,1.16,0.64,0.0,DEF,ARS,5.5
True,True,,,500040,0,0,0,0,0,0,2,2.5,,0,Cristhian,0.0,11,False,,,55,500040.jpg,2.0,False,Mosquera,14.0,False,,a,1,3,40,0,0,0,0,0.0,7.3,Mosquera,,,,,False,p500040,986,0,0,3,8,0,0,0,4,0,0,1,195,219.2,88.7,20.0,32.9,0,0,0,0,9,0.1,0.63,0.73,9.04,,,,,,,[],,239,90,243,79,310,108,282,93,0.01,0.0,0.06,0.07,0.83,0.73,190,28,427,170,288,110,25,9,0.82,0.27,0.0,DEF,ARS,5.5
True,True,,,223340,0,0,0,0,0,0,3,3.2,,0,Bukayo,0.0,12,False,,,95,223340.jpg,5.1,False,Saka,10.6,False,,a,1,3,157,0,0,0,0,0.0,16.5,Saka,,,,,False,p223340,2218,7,10,12,16,0,0,0,2,0,0,18,570,627.0,847.6,828.0,230.6,0,0,0,0,25,7.57,7.16,14.73,15.57,6.0,,2.0,,1.0,,[],,68,20,12,11,11,6,10,8,0.31,0.0,0.29,0.6,0.63,0.65,3,2,555,244,12,6,42,14,1.01,0.49,0.0,MID,ARS,9.5
True,True,,,204480,0,0,0,0,0,0,3,2.6,,0,Declan,0.0,13,False,,,75,204480.jpg,5.1,False,Rice,21.7,False,,a,1,3,184,0,0,0,0,0.0,24.5,Rice,,,,,False,p204480,3093,4,9,18,25,0,0,0,3,0,0,23,790,827.2,1027.4,298.0,215.4,0,0,0,0,35,3.15,7.32,10.47,23.87,5.0,,1.0,,,,[],,24,8,4,4,100,63,14,11,0.09,0.0,0.21,0.3,0.69,0.73,13,8,537,234,9,4,12,4,1.02,0.52,0.0,MID,ARS,7.5
True,True,,,232413,0,0,0,0,0,0,3,2.3,,0,Eberechi,0.0,14,False,,,65,232413.jpg,3.4,False,Eze,3.0,False,,a,1,3,113,0,0,0,0,0.0,17.4,Eze,,,,,False,p232413,1885,7,3,11,14,0,0,0,1,0,0,8,439,393.4,305.7,455.0,115.1,0,0,0,0,22,5.18,2.66,7.84,14.21,,,3.0,,,,[],,156,61,123,85,47,28,95,54,0.25,0.0,0.13,0.38,0.68,0.67,41,28,514,216,122,50,100,33,1.05,0.53,0.0,MID,ARS,6.5
True,True,,,184029,0,0,0,0,0,0,3,2.3,,0,Martin,0.0,15,False,,,65,184029.jpg,3.1,False,Ødegaard,2.9,False,,a,1,3,74,0,0,0,0,0.0,11.4,Ødegaard,,,,,False,p184029,1363,1,7,6,13,0,0,0,0,0,0,5,306,311.8,564.4,168.0,104.4,0,0,0,0,16,1.25,3.65,4.9,16.2,8.0,,,,3.0,,[],,196,85,39,36,180,98,120,68,0.08,0.0,0.24,0.32,1.07,0.86,35,23,508,211,163,62,108,35,1.06,0.4,0.0,MID,ARS,6.5
True,True,,,248857,0,0,0,0,0,0,3,2.3,,0,Noni,0.0,16,False,,,65,248857.jpg,2.8,False,Madueke,0.3,False,,a,1,3,72,0,0,0,0,0.0,11.1,Madueke,,,,,False,p248857,1205,3,1,8,9,0,0,0,0,0,0,9,254,257.4,352.8,404.0,101.3,0,0,0,0,16,1.23,2.86,4.09,12.77,7.0,,,,,,[],,221,98,98,71,64,38,126,72,0.09,0.0,0.21,0.3,0.95,0.67,43,30,516,218,201,77,304,102,1.2,0.6,0.0,MID,ARS,6.5
True,True,,,195384,0,0,0,0,0,0,3,2.1,,0,Mikel,0.0,17,False,,,60,195384.jpg,3.0,False,Merino Zazón,1.1,False,,a,1,3,67,0,0,0,0,0.0,11.2,Merino,,,,,False,p195384,1024,4,3,4,10,0,0,0,1,0,0,5,236,304.4,191.8,244.0,73.6,0,0,0,0,10,3.36,1.45,4.81,7.36,,,,,,,[],,199,88,176,118,119,69,189,94,0.3,0.0,0.13,0.43,0.65,0.88,64,42,458,177,175,68,184,60,0.88,0.35,0.0,MID,ARS,6.0
True,True,,,444145,0,0,0,0,0,0,3,2.3,,0,Gabriel,0.0,18,False,,,65,444145.jpg,1.9,False,Martinelli Silva,0.3,False,,a,1,3,57,0,0,0,0,0.0,8.8,Martinelli,,,,,False,p444145,1065,1,5,2,8,0,0,0,3,0,0,3,195,204.6,202.2,390.0,79.0,0,0,0,0,11,4.12,1.27,5.39,10.51,,,,,,,[],,249,112,166,111,69,42,177,86,0.35,0.0,0.11,0.46,0.89,0.68,45,32,518,220,298,130,312,108,0.93,0.17,0.0,MID,ARS,6.5
True,True,,,481655,0,0,0,0,0,0,3,2.0,,0,Martín,0.0,19,False,,,55,481655.jpg,3.5,False,Zubimendi Ibáñez,1.5,False,,a,1,3,133,0,0,0,0,0.0,24.2,Zubimendi,,,,,False,p481655,2991,5,1,16,25,0,0,0,4,0,0,9,604,603.2,385.1,271.0,126.2,0,0,0,0,34,2.84,2.27,5.11,26.09,,,,,,,[],,74,24,85,63,110,64,78,49,0.09,0.0,0.07,0.16,0.79,0.75,180,110,417,153,107,42,172,55,1.02,0.48,0.0,MID,ARS,5.5
